"Source:","/Users/seanmartz/Documents/HappySwitchV2/HappySwitchV2.kicad_sch"
"Date:","Sunday, September 01, 2024 at 06:22:37 PM"
"Tool:","Eeschema (6.0.0-0)"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","41"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DigiKey Part Number ","MPN","Manufacturer"
"","","D1","1N4148","Diode:1N4148","1N4148W-13-L:SOD123_DIO","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","4878-1N4148WCT-ND","1N4148W","Diotec Semiconductor"
"","","D2","Green 3.1","Device:LED","LED_THT:LED_D5.0mm","~","","",""
"","","D3","Orange 2.1","Device:LED","LED_THT:LED_D5.0mm","~","","",""
"","","D4","Red 2.1","Device:LED","LED_THT:LED_D5.0mm","~","","",""
"","","D5","1N4148","Diode:1N4148","1N4148W-13-L:SOD123_DIO","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","4878-1N4148WCT-ND","1N4148W","Diotec Semiconductor"
"","","D6","1N4148","Diode:1N4148","1N4148W-13-L:SOD123_DIO","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","4878-1N4148WCT-ND","1N4148W","Diotec Semiconductor"
"","","D7","Purple 3.2","Device:LED","LED_THT:LED_D5.0mm","~","","",""
"","","D8","Blue 2.1","Device:LED","LED_THT:LED_D5.0mm","~","","",""
"","","J1","DIN-8","Connector:DIN-8","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","http://www.mouser.com/ds/2/18/40_c091_abd_e-75918.pdf","","",""
"","","J2","DIN-5_180degree","Connector:DIN-5_180degree","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","http://www.mouser.com/ds/2/18/40_c091_abd_e-75918.pdf","","",""
"","","Q1","4N25-X007T","4n25-x007t:4N25-X007T","4n25-x007t:X007_VIS","4N25-X007T","4N25-X007TCT-ND","4N25-X007T","Vishay Semiconductor Opto Division"
"","","R1","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~","10-ERA-6VEB1002VCT-ND","ERA-6VEB1002V","Panasonic Electronic Components"
"","","R2","10K","Device:R","Resistor_SMD:R_0805_2012Metric","(sheet_instances","10-ERA-6VEB1002VCT-ND","ERA-6VEB1002V","Panasonic Electronic Components"
"","","R3","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~","10-ERA-6VEB1002VCT-ND","ERA-6VEB1002V","Panasonic Electronic Components"
"","","R4","R220","Device:R","Resistor_SMD:R_0805_2012Metric","~","P20516CT-ND","ERJ-PB6B2200V","Panasonic Electronic Components"
"","","R5","R220","Device:R","Resistor_SMD:R_0805_2012Metric","~","P20516CT-ND","ERJ-PB6B2200V","Panasonic Electronic Components"
"","","R6","R220","Device:R","Resistor_SMD:R_0805_2012Metric","~","P20516CT-ND","ERJ-PB6B2200V","Panasonic Electronic Components"
"","","R7","R220","Device:R","Resistor_SMD:R_0805_2012Metric","~","P20516CT-ND","ERJ-PB6B2200V","Panasonic Electronic Components"
"","","R8","R470","Device:R","Resistor_SMD:R_0805_2012Metric","~","10-ERA-6VEB4700VCT-ND","ERA-6VEB4700V","Panasonic Electronic Components"
"","","R9","4K7","Device:R","Resistor_SMD:R_0805_2012Metric","~","10-ERA-6VEB4701VCT-ND","ERA-6VEB4701V","Panasonic Electronic Components"
"","","R10","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~","10-ERA-6VEB1002VCT-ND","ERA-6VEB1002V","Panasonic Electronic Components"
"","","R11","3K3","Device:R","Resistor_SMD:R_0805_2012Metric","~","P21076CT-ND","ERJ-PB6D3301V","Panasonic Electronic Components"
"","","R12","5K23","Device:R","Resistor_SMD:R_0805_2012Metric","~","P20676CT-ND","ERJ-PB6B5231V","Panasonic Electronic Components"
"","","R13","100K","Device:R","Resistor_SMD:R_0805_2012Metric","~","10-ERA-6VEB1003VCT-ND","ERA-6VEB1003V","Panasonic Electronic Components"
"","","R14","3K3","Device:R","Resistor_SMD:R_0805_2012Metric","~","P21076CT-ND","ERJ-PB6D3301V","Panasonic Electronic Components"
"","","R15","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~","10-ERA-6VEB1002VCT-ND","ERA-6VEB1002V","Panasonic Electronic Components"
"","","R16","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~","10-ERA-6VEB1002VCT-ND","ERA-6VEB1002V","Panasonic Electronic Components"
"","","R17","R220","Device:R","Resistor_SMD:R_0805_2012Metric","~","P20516CT-ND","ERJ-PB6B2200V","Panasonic Electronic Components"
"","","R18","R220","Device:R","Resistor_SMD:R_0805_2012Metric","~","P20516CT-ND","ERJ-PB6B2200V","Panasonic Electronic Components"
"","","R19","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~","10-ERA-6VEB1002VCT-ND","ERA-6VEB1002V","Panasonic Electronic Components"
"","","R20","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~","10-ERA-6VEB1002VCT-ND","ERA-6VEB1002V","Panasonic Electronic Components"
"","","R21","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~","10-ERA-6VEB1002VCT-ND","ERA-6VEB1002V","Panasonic Electronic Components"
"","","R22","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~","10-ERA-6VEB1002VCT-ND","ERA-6VEB1002V","Panasonic Electronic Components"
"","","R23","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~","10-ERA-6VEB1002VCT-ND","ERA-6VEB1002V","Panasonic Electronic Components"
"","","R25","0R","Device:R","Resistor_SMD:R_0805_2012Metric","~","P0.0ACT-ND","ERJ-6GEY0R00V","Panasonic Electronic Components"
"","","SW1","SW_Push","Switch:SW_Push","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","",""
"","","SW2","SW_Push","Switch:SW_Push","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","",""
"","","SW3","SW_Push","Switch:SW_Push","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","",""
"","","SW4","SW_Push","Switch:SW_Push","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","",""
"","","SW5","SW_Push","Switch:SW_Push","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","",""
"","","U1","Sparkfun_Pro_Micro","Arduino:Sparkfun_Pro_Micro","Arduino:Sparkfun_Pro_Micro","https://www.sparkfun.com/products/12640","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DigiKey Part Number ","MPN","Manufacturer"
"1","3","D1, D5, D6","1N4148","Diode:1N4148","1N4148W-13-L:SOD123_DIO","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","4878-1N4148WCT-ND","1N4148W","Diotec Semiconductor"
"2","1","D2","Green 3.1","Device:LED","LED_THT:LED_D5.0mm","~","","",""
"3","1","D3","Orange 2.1","Device:LED","LED_THT:LED_D5.0mm","~","","",""
"4","1","D4","Red 2.1","Device:LED","LED_THT:LED_D5.0mm","~","","",""
"5","1","D7","Purple 3.2","Device:LED","LED_THT:LED_D5.0mm","~","","",""
"6","1","D8","Blue 2.1","Device:LED","LED_THT:LED_D5.0mm","~","","",""
"7","1","J1","DIN-8","Connector:DIN-8","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","http://www.mouser.com/ds/2/18/40_c091_abd_e-75918.pdf","","",""
"8","1","J2","DIN-5_180degree","Connector:DIN-5_180degree","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","http://www.mouser.com/ds/2/18/40_c091_abd_e-75918.pdf","","",""
"9","1","Q1","4N25-X007T","4n25-x007t:4N25-X007T","4n25-x007t:X007_VIS","4N25-X007T","4N25-X007TCT-ND","4N25-X007T","Vishay Semiconductor Opto Division"
"10","11","R1, R2, R3, R10, R15, R16, R19, R20, R21, R22, R23","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~","10-ERA-6VEB1002VCT-ND","ERA-6VEB1002V","Panasonic Electronic Components"
"11","6","R4, R5, R6, R7, R17, R18","R220","Device:R","Resistor_SMD:R_0805_2012Metric","~","P20516CT-ND","ERJ-PB6B2200V","Panasonic Electronic Components"
"12","1","R8","R470","Device:R","Resistor_SMD:R_0805_2012Metric","~","10-ERA-6VEB4700VCT-ND","ERA-6VEB4700V","Panasonic Electronic Components"
"13","1","R9","4K7","Device:R","Resistor_SMD:R_0805_2012Metric","~","10-ERA-6VEB4701VCT-ND","ERA-6VEB4701V","Panasonic Electronic Components"
"14","2","R11, R14","3K3","Device:R","Resistor_SMD:R_0805_2012Metric","~","P21076CT-ND","ERJ-PB6D3301V","Panasonic Electronic Components"
"15","1","R12","5K23","Device:R","Resistor_SMD:R_0805_2012Metric","~","P20676CT-ND","ERJ-PB6B5231V","Panasonic Electronic Components"
"16","1","R13","100K","Device:R","Resistor_SMD:R_0805_2012Metric","~","10-ERA-6VEB1003VCT-ND","ERA-6VEB1003V","Panasonic Electronic Components"
"17","1","R25","0R","Device:R","Resistor_SMD:R_0805_2012Metric","~","P0.0ACT-ND","ERJ-6GEY0R00V","Panasonic Electronic Components"
"18","5","SW1, SW2, SW3, SW4, SW5","SW_Push","Switch:SW_Push","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","",""
"19","1","U1","Sparkfun_Pro_Micro","Arduino:Sparkfun_Pro_Micro","Arduino:Sparkfun_Pro_Micro","https://www.sparkfun.com/products/12640","","",""
