Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D5, D6",D_DO-35_SOD27_P7.62mm_Horizontal,3,1N4148,
D2,LED_D3.0mm,1,Green 3.1,
D3,LED_D3.0mm,1,Orange 2.1,
D4,LED_D3.0mm,1,Red 2.1,
D7,LED_D3.0mm,1,Purple 3.2,
D8,LED_D3.0mm,1,Blue 2.1,
J1,PinHeader_1x05_P2.54mm_Vertical,1,MIDI,
J2,PinHeader_1x08_P2.54mm_Vertical,1,MESA,
"R1, R21, R23, R4, R7, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,6,R 220,
"R10, R11, R12, R13, R14, R17, R20, R22, R5, R6, R8",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,11,10 K,
R15,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,4K7,
R16,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,R 470,
"R18, R3",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,3K3,
R19,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,5k2,
R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,100 K,
SW1,PinHeader_1x02_P2.54mm_Vertical,1,CH 1,
SW2,PinHeader_1x02_P2.54mm_Vertical,1,CH 2,
SW3,PinHeader_1x02_P2.54mm_Vertical,1,CH 3,
SW4,PinHeader_1x02_P2.54mm_Vertical,1,SOLO,
SW5,PinHeader_1x02_P2.54mm_Vertical,1,FX,
U1,DIP-6_W7.62mm,1,4N25,
U2,Arduino_Nano_Socket,1,Arduino_Nano,
