Designator,Mid X,Mid Y,Rotation,Layer
D1,233.0,-70.25,90.0,top
D2,237.0,-52.0,180.0,top
D3,197.27,-52.0,180.0,top
D4,156.5,-52.0,180.0,top
D5,90.0,-78.75,180.0,top
D6,89.75,-68.75,180.0,top
D7,116.77,-52.0,180.0,top
D8,78.0,-52.0,180.0,top
J1,253.0,-69.12,180.0,top
J2,58.0,-71.5,0.0,top
R1,243.5,-74.0,180.0,top
R10,223.0,-95.5,180.0,top
R11,184.5,-95.0,180.0,top
R12,144.0,-95.0,180.0,top
R13,104.0,-95.0,180.0,top
R14,69.5,-95.0,180.0,top
R15,104.5,-78.75,0.0,top
R16,104.75,-68.75,0.0,top
R17,80.0,-82.5,90.0,top
R18,80.0,-65.0,90.0,top
R19,88.75,-61.25,0.0,top
R2,205.0,-71.5,180.0,top
R20,87.0,-52.0,180.0,top
R21,103.5,-52.0,180.0,top
R22,57.0,-52.0,180.0,top
R23,69.0,-52.0,180.0,top
R3,204.5,-64.5,180.0,top
R4,224.5,-52.0,180.0,top
R5,208.5,-52.0,0.0,top
R6,167.5,-52.0,0.0,top
R7,183.0,-52.0,180.0,top
R8,128.0,-52.0,0.0,top
R9,143.5,-52.0,180.0,top
SW1,237.995,-95.5,90.0,top
SW2,199.995,-95.0,90.0,top
SW3,158.23,-95.0,90.0,top
SW4,118.495,-95.0,90.0,top
SW5,81.995,-95.0,90.0,top
U1,218.995,-69.0,180.0,top
U2,156.159,-71.5,270.0,top
